ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
SafeThread-2, 9728, 0.09590300, 0.09590300, 0.09590300, 0.00694800, 0.09590300, 0.46117500, 0.46811600,0.52558800, 1461352646555
UnsafeThread-1, 12288, 0.00000000, 0.00000000, 0.00000000, 0.00739700, 0.00000000, 0.42184500, 0.42865800,0.48458100, 1461352683819
UnsafeThread-2, 12288, 0.00000000, 0.00000000, 0.00000000, 0.00683800, 0.00000000, 0.37831500, 0.38517700,0.44103700, 1461352774715
SafeThread-1, 9728, 0.09514100, 0.09514100, 0.09514100, 0.00677000, 0.09514100, 0.50834200, 0.51548200,0.57290400, 1461352792013
UnsafeThread-2, 12800, 0.00000000, 0.00000000, 0.00000000, 0.00717800, 0.00000000, 0.31632200, 0.32313100,0.38007600, 1461353154837
SafeThread-2, 10240, 0.09589400, 0.09589400, 0.09589400, 0.00708700, 0.09589400, 0.48074900, 0.48776300,0.54503200, 1461353191639
UnsafeThread-1, 12800, 0.00000000, 0.00000000, 0.00000000, 0.00733900, 0.00000000, 0.47148800, 0.47825700,0.53501400, 1461353218882
SafeThread-1, 10240, 0.09643100, 0.09643100, 0.09643100, 0.00710000, 0.09643100, 0.54311400, 0.55005500,0.60766000, 1461353399705
UnsafeThread-2, 13312, 0.00000000, 0.00000000, 0.00000000, 0.00705800, 0.00000000, 0.40715300, 0.41415400,0.47178700, 1461353626667
SafeThread-2, 10752, 0.09550000, 0.09550000, 0.09550000, 0.00712500, 0.09550000, 0.46307700, 0.47023300,0.52749400, 1461353719178
UnsafeThread-1, 13312, 0.00000000, 0.00000000, 0.00000000, 0.00713800, 0.00000000, 0.60254800, 0.60932400,0.66545300, 1461353884379
UnsafeThread-2, 13824, 0.00000000, 0.00000000, 0.00000000, 0.00751300, 0.00000000, 0.33353400, 0.34036700,0.39647800, 1461354023185
SafeThread-1, 10752, 0.09656000, 0.09656000, 0.09656000, 0.00724700, 0.09656000, 0.60858300, 0.61557700,0.67295400, 1461354072718
SafeThread-2, 11264, 0.09633700, 0.09633700, 0.09633700, 0.00694800, 0.09633700, 0.34399800, 0.35111900,0.40871900, 1461354127944
UnsafeThread-1, 13824, 0.00000000, 0.00000000, 0.00000000, 0.00724400, 0.00000000, 0.46092300, 0.46793900,0.52493200, 1461354409366
UnsafeThread-2, 14336, 0.00000000, 0.00000000, 0.00000000, 0.00666500, 0.00000000, 0.33011400, 0.33691500,0.39348100, 1461354416714
SafeThread-1, 11264, 0.09626300, 0.09626300, 0.09626300, 0.00689500, 0.09626300, 0.43725500, 0.44453400,0.50184500, 1461354574606
SafeThread-2, 11776, 0.09611300, 0.09611300, 0.09611300, 0.00676700, 0.09611300, 0.42281500, 0.42969200,0.48705900, 1461354615049
UnsafeThread-2, 14848, 0.00000000, 0.00000000, 0.00000000, 0.00709100, 0.00000000, 0.36063000, 0.36747800,0.42491600, 1461354841684
UnsafeThread-1, 14336, 0.00000000, 0.00000000, 0.00000000, 0.00703800, 0.00000000, 0.39073700, 0.39771000,0.45514400, 1461354864558
SafeThread-1, 11776, 0.09673100, 0.09673100, 0.09673100, 0.00713300, 0.09673100, 0.44970300, 0.45658600,0.51470700, 1461355089349
SafeThread-2, 12288, 0.09619000, 0.09619000, 0.09619000, 0.00706800, 0.09619000, 0.46448100, 0.47157900,0.52903800, 1461355144139
UnsafeThread-2, 15360, 0.00000000, 0.00000000, 0.00000000, 0.00715900, 0.00000000, 0.47805600, 0.48485100,0.54144500, 1461355383191
UnsafeThread-1, 14848, 0.00000000, 0.00000000, 0.00000000, 0.00740900, 0.00000000, 0.46032600, 0.46719800,0.52439300, 1461355389002
SafeThread-1, 12288, 0.09568800, 0.09568800, 0.09568800, 0.00703100, 0.09568800, 0.40028700, 0.40739900,0.46468500, 1461355554081
SafeThread-2, 12800, 0.09529300, 0.09529300, 0.09529300, 0.00686600, 0.09529300, 0.49560100, 0.50232400,0.55929800, 1461355703478
UnsafeThread-1, 15360, 0.00000000, 0.00000000, 0.00000000, 0.00702400, 0.00000000, 0.36832700, 0.37518200,0.43191500, 1461355820975
UnsafeThread-2, 15872, 0.00000000, 0.00000000, 0.00000000, 0.00692800, 0.00000000, 0.40153800, 0.40829900,0.46409900, 1461355847324
SafeThread-2, 13312, 0.09592900, 0.09592900, 0.09592900, 0.00715300, 0.09592900, 0.48729600, 0.49444000,0.55181000, 1461356255333
SafeThread-1, 12800, 0.09623000, 0.09623000, 0.09623000, 0.00708300, 0.09623000, 0.64262000, 0.64975000,0.70720600, 1461356261327
UnsafeThread-2, 16384, 0.00000000, 0.00000000, 0.00000000, 0.00717700, 0.00000000, 0.38284200, 0.38971100,0.44547900, 1461356292845
UnsafeThread-1, 15872, 0.00000000, 0.00000000, 0.00000000, 0.00714800, 0.00000000, 0.41254300, 0.41930000,0.47513700, 1461356296148
UnsafeThread-1, 16384, 0.00000000, 0.00000000, 0.00000000, 0.00703000, 0.00000000, 0.35129900, 0.35802500,0.41474300, 1461356710927
SafeThread-2, 13824, 0.09540400, 0.09540400, 0.09540400, 0.00691100, 0.09540400, 0.41182100, 0.41899000,0.47601900, 1461356731397
UnsafeThread-2, 16896, 0.00000000, 0.00000000, 0.00000000, 0.00684900, 0.00000000, 0.48868600, 0.49543400,0.55183200, 1461356844711
SafeThread-1, 13312, 0.09623200, 0.09623200, 0.09623200, 0.00727700, 0.09623200, 0.51950300, 0.52653700,0.58386700, 1461356845243
UnsafeThread-1, 16896, 0.00000000, 0.00000000, 0.00000000, 0.00732200, 0.00000000, 0.42826400, 0.43513800,0.49117600, 1461357202147
UnsafeThread-2, 17408, 0.00000000, 0.00000000, 0.00000000, 0.00745500, 0.00000000, 0.32035300, 0.32718600,0.38376300, 1461357228523
SafeThread-2, 14336, 0.09475700, 0.09475700, 0.09475700, 0.00683900, 0.09475700, 0.55257000, 0.55951400,0.61625900, 1461357347696
SafeThread-1, 13824, 0.09620500, 0.09620500, 0.09620500, 0.00692400, 0.09620500, 0.46033800, 0.46721000,0.52474700, 1461357370055
UnsafeThread-2, 17920, 0.00000000, 0.00000000, 0.00000000, 0.00713600, 0.00000000, 0.32212800, 0.32903000,0.38552400, 1461357614098
UnsafeThread-1, 17408, 0.00000000, 0.00000000, 0.00000000, 0.00716300, 0.00000000, 0.46307900, 0.46992400,0.52590400, 1461357728097
SafeThread-1, 14336, 0.09713900, 0.09713900, 0.09713900, 0.00748200, 0.09713900, 0.38834300, 0.39512600,0.45247200, 1461357822567
SafeThread-2, 14848, 0.09593600, 0.09593600, 0.09593600, 0.00689300, 0.09593600, 0.44812900, 0.45508600,0.51237000, 1461357860106
UnsafeThread-2, 18432, 0.00000000, 0.00000000, 0.00000000, 0.00680600, 0.00000000, 0.46797300, 0.47478300,0.53191000, 1461358146043
UnsafeThread-1, 17920, 0.00000000, 0.00000000, 0.00000000, 0.00716400, 0.00000000, 0.39022200, 0.39701400,0.45337600, 1461358181520
SafeThread-1, 14848, 0.09581000, 0.09581000, 0.09581000, 0.00667400, 0.09581000, 0.41820700, 0.42516000,0.48243600, 1461358305054
SafeThread-2, 15360, 0.09674400, 0.09674400, 0.09674400, 0.00697100, 0.09674400, 0.50194100, 0.50882900,0.56643100, 1461358426588
UnsafeThread-1, 18432, 0.00000000, 0.00000000, 0.00000000, 0.00686200, 0.00000000, 0.33086200, 0.33782900,0.39504700, 1461358576617
UnsafeThread-2, 18944, 0.00000000, 0.00000000, 0.00000000, 0.00733500, 0.00000000, 0.41168600, 0.41845500,0.47464200, 1461358620726
SafeThread-2, 15872, 0.09582600, 0.09582600, 0.09582600, 0.00699900, 0.09582600, 0.39214000, 0.39912400,0.45608300, 1461358882715
SafeThread-1, 15360, 0.09635500, 0.09635500, 0.09635500, 0.00723100, 0.09635500, 0.53679800, 0.54368300,0.60091000, 1461358906004
UnsafeThread-1, 18944, 0.00000000, 0.00000000, 0.00000000, 0.00722200, 0.00000000, 0.45964900, 0.46656300,0.52322700, 1461359099875
UnsafeThread-2, 19456, 0.00000000, 0.00000000, 0.00000000, 0.00716200, 0.00000000, 0.45980900, 0.46666000,0.52351500, 1461359144278
SafeThread-2, 16384, 0.09487800, 0.09487800, 0.09487800, 0.00674000, 0.09487800, 0.51905000, 0.52574200,0.58310900, 1461359465863
SafeThread-1, 15872, 0.09541600, 0.09541600, 0.09541600, 0.00688500, 0.09541600, 0.51746100, 0.52447700,0.58219600, 1461359488248
UnsafeThread-1, 19456, 0.00000000, 0.00000000, 0.00000000, 0.00739500, 0.00000000, 0.34620600, 0.35293400,0.40898400, 1461359508905
UnsafeThread-2, 19968, 0.00000000, 0.00000000, 0.00000000, 0.00725100, 0.00000000, 0.37791600, 0.38474400,0.44223700, 1461359586557
UnsafeThread-2, 20480, 0.00000000, 0.00000000, 0.00000000, 0.00703100, 0.00000000, 0.33228700, 0.33902800,0.39523400, 1461359981833
UnsafeThread-1, 19968, 0.00000000, 0.00000000, 0.00000000, 0.00699100, 0.00000000, 0.41351600, 0.42040100,0.47747900, 1461359986442
SafeThread-2, 16896, 0.09484500, 0.09484500, 0.09484500, 0.00724000, 0.09484500, 0.49077200, 0.49795800,0.55465700, 1461360020560
SafeThread-1, 16384, 0.09549300, 0.09549300, 0.09549300, 0.00689100, 0.09549300, 0.48869300, 0.49550200,0.55262900, 1461360040934
UnsafeThread-2, 20992, 0.00000000, 0.00000000, 0.00000000, 0.00723400, 0.00000000, 0.36397600, 0.37068700,0.42567900, 1461360407567
SafeThread-2, 17408, 0.09447000, 0.09447000, 0.09447000, 0.00707400, 0.09447000, 0.42075700, 0.42809000,0.48459400, 1461360505205
UnsafeThread-1, 20480, 0.00000000, 0.00000000, 0.00000000, 0.00702500, 0.00000000, 0.47313100, 0.47999500,0.53718200, 1461360523676
SafeThread-1, 16896, 0.09574600, 0.09574600, 0.09574600, 0.00693000, 0.09574600, 0.69551700, 0.70262200,0.76019700, 1461360801179
UnsafeThread-1, 20992, 0.00000000, 0.00000000, 0.00000000, 0.00711000, 0.00000000, 0.39307300, 0.40000100,0.45571900, 1461360979440
UnsafeThread-2, 21504, 0.00000000, 0.00000000, 0.00000000, 0.00687300, 0.00000000, 0.52338500, 0.53023700,0.58679300, 1461360994412
SafeThread-2, 17920, 0.09585100, 0.09585100, 0.09585100, 0.00686700, 0.09585100, 0.44095600, 0.44838400,0.50575900, 1461361011016
SafeThread-1, 17408, 0.09599000, 0.09599000, 0.09599000, 0.00723500, 0.09599000, 0.50432500, 0.51144300,0.56880300, 1461361370017
UnsafeThread-1, 21504, 0.00000000, 0.00000000, 0.00000000, 0.00740200, 0.00000000, 0.33373100, 0.34076000,0.39715600, 1461361376640
SafeThread-2, 18432, 0.09628100, 0.09628100, 0.09628100, 0.00692900, 0.09628100, 0.37801700, 0.38552700,0.44303100, 1461361454096
UnsafeThread-2, 22016, 0.00000000, 0.00000000, 0.00000000, 0.00716700, 0.00000000, 0.39883900, 0.40578100,0.46225100, 1461361456709
UnsafeThread-2, 22528, 0.00000000, 0.00000000, 0.00000000, 0.00702900, 0.00000000, 0.36411700, 0.37086300,0.42767300, 1461361884431
